,0,1,2
102,[17 18 20],1.036795234151847,55
103,[17 17 20],1.0421887884429535,54
104,[16 17 20],1.0517611272183771,53
105,[16 16 20],1.0581660788268465,52
106,[15 17 20],1.0642197246097136,52
107,[15 16 20],1.0680334934409017,51
108,[15 15 20],1.0752942541416985,50
109,[14 16 20],1.0806332352639834,50
110,[14 15 20],1.085635290488685,49
111,[14 14 20],1.0937215325564662,48
112,[13 16 20],1.0954315391972662,49
113,[13 15 20],1.0986216122149386,48
114,[13 14 20],1.1046830285163391,47
115,[13 13 20],1.1136251390666363,46
116,[12 15 20],1.113911094081957,47
117,[12 14 20],1.1182662823353664,46
118,[12 13 20],1.1253504006592885,45
119,[11 15 20],1.1313006114555106,46
120,[11 14 20],1.134269127818398,45
121,[12 12 20],1.1352193138249524,44
122,[11 13 20],1.1397335802214903,44
123,[11 12 20],1.1478640020900261,43
124,[10 14 20],1.1525842630477068,44
125,[10 13 20],1.1566860693413858,43
126,[11 11 20],1.1587663166385975,42
127,[10 12 20],1.1632632293138079,42
128,[10 11 20],1.172511309325667,41
129,[ 9 14 20],1.1732122998076515,43
130,[ 9 13 20],1.1761960716715363,42
131,[ 9 12 20],1.1814324185233007,41
132,[10 10 20],1.1845919112825145,40
133,[ 9 11 20],1.1891747068101486,40
134,[ 8 13 20],1.1983535445076205,41
135,[ 9 10 20],1.199657367802183,39
136,[ 8 12 20],1.2024636198105965,40
137,[ 8 11 20],1.208880369919233,39
138,[ 9  9 20],1.2131077719748329,38
139,[ 8 10 20],1.2178869637247876,38
140,[ 7 13 20],1.2233737998939078,40
141,[ 7 12 20],1.226562143801765,39
142,[ 8  9 20],1.2297717630776415,37
143,[ 7 11 20],1.2318454766910616,38
144,[ 7 10 20],1.2395327567868184,37
145,[ 8  8 20],1.2448450151581878,36
146,[ 7  9 20],1.2499537906080156,36
147,[ 6 12 20],1.2540924144076215,38
148,[ 6 11 20],1.2584352931977432,37
149,[ 7  8 20],1.2634711942968764,35
150,[ 6 10 20],1.2649793282623425,36
151,[ 6  9 20],1.2740760847261487,35
152,[ 7  7 20],1.2805064896322207,34
153,[ 5 12 20],1.285654103106784,37
154,[ 6  8 20],1.2861234782436513,34
155,[ 5 11 20],1.2892466417837631,36
156,[ 5 10 20],1.2948336758410273,35
157,[ 6  7 20],1.3015887416701335,33
158,[ 5  9 20],1.3027716034621426,34
159,[ 5  8 20],1.313475656628305,33
160,[ 6  6 20],1.3210526397488647,32
161,[ 4 11 20],1.3252633943724144,35
162,[ 5  7 20],1.3274426161281063,32
163,[ 4 10 20],1.3300872711617164,34
164,[ 4  9 20],1.3370512837934034,33
165,[ 5  6 20],1.3452931191242947,31
166,[ 4  8 20],1.3465716150309777,32
167,[ 4  7 20],1.3591568706216517,31
168,[ 5  5 20],1.3678522264219934,30
169,[ 3 11 20],1.3682001133572177,34
170,[ 3 10 20],1.3724670147994589,33
171,[ 4  6 20],1.3754507263429039,30
172,[ 3  9 20],1.3786620891985735,32
173,[ 3  8 20],1.3871886999626537,31
174,[ 4  5 20],1.3963114657827655,29
175,[ 3  7 20],1.3985501365401403,30
176,[ 3  6 20],1.4133938233011918,29
177,[ 4  4 20],1.422971722449121,28
178,[ 2 10 20],1.4253818672351035,32
179,[ 2  9 20],1.4310456826043647,31
180,[ 3  5 20],1.4325914449420338,28
181,[ 2  8 20],1.4388070239448651,30
182,[ 2  7 20],1.4491479627423782,29
183,[ 3  4 20],1.4573977525610347,27
184,[ 2  6 20],1.462699349467509,28
185,[ 2  5 20],1.4803219407680341,27
186,[ 3  3 20],1.4898064445883121,26
187,[ 2  4 20],1.503264685501251,26
188,[ 2  3 20],1.5335163800395282,25
189,[ 2  2 20],1.5747568090591817,24
